FromNodeNumber	ToNodeNumber	RoutingType	LoadType	MoveNumber	Speed	APlusMacro	EstimatedMoveTime	Distance	Cost	MaxLockTo	DetourAPlusMacro
754	752	APL	ALL	7540752	50	M07540752	0	700	0	0	
754	753	APL	ALL	7540753	50	M07540753	0	2099	0	0	
754	755	APL	ALL	7540755	50	M07540755	0	2799	0	0	
755	751	APL	ALL	7550751	-50	M07550751	0	1399	0	0	
755	752	APL	ALL	7550752	-50	M07550752	0	2099	0	0	
755	753	APL	ALL	7550753	-50	M07550753	0	700	0	0	
755	754	APL	ALL	7550754	-50	M07550754	0	2799	0	0	
761	762	APL	ALL	7610762	-50	M07610762	0	699	0	0	
761	763	APL	ALL	7610763	50	M07610763	0	700	0	0	
761	764	APL	ALL	7610764	-50	M07610764	0	1399	0	0	
761	765	APL	ALL	7610765	50	M07610765	0	1400	0	0	
762	761	APL	ALL	7620761	50	M07620761	0	699	0	0	
762	763	APL	ALL	7620763	50	M07620763	0	1399	0	0	
762	764	APL	ALL	7620764	-50	M07620764	0	700	0	0	
762	765	APL	ALL	7620765	50	M07620765	0	2099	0	0	
763	761	APL	ALL	7630761	-50	M07630761	0	700	0	0	
763	762	APL	ALL	7630762	-50	M07630762	0	1399	0	0	
763	764	APL	ALL	7630764	-50	M07630764	0	2099	0	0	
763	765	APL	ALL	7630765	50	M07630765	0	700	0	0	
764	761	APL	ALL	7640761	50	M07640761	0	1399	0	0	
764	762	APL	ALL	7640762	50	M07640762	0	700	0	0	
764	763	APL	ALL	7640763	50	M07640763	0	2099	0	0	
764	765	APL	ALL	7640765	50	M07640765	0	2799	0	0	
765	761	APL	ALL	7650761	-50	M07650761	0	1400	0	0	
765	762	APL	ALL	7650762	-50	M07650762	0	2099	0	0	
765	763	APL	ALL	7650763	-50	M07650763	0	700	0	0	
765	764	APL	ALL	7650764	-50	M07650764	0	2799	0	0	
771	772	APL	ALL	7710772	-50	M07710772	0	700	0	0	
771	773	APL	ALL	7710773	50	M07710773	0	700	0	0	
771	774	APL	ALL	7710774	-50	M07710774	0	1400	0	0	
771	775	APL	ALL	7710775	50	M07710775	0	1400	0	0	
772	771	APL	ALL	7720771	50	M07720771	0	700	0	0	
772	773	APL	ALL	7720773	50	M07720773	0	1400	0	0	
772	774	APL	ALL	7720774	-50	M07720774	0	700	0	0	
772	775	APL	ALL	7720775	50	M07720775	0	2100	0	0	
773	771	APL	ALL	7730771	-50	M07730771	0	700	0	0	
773	772	APL	ALL	7730772	-50	M07730772	0	1400	0	0	
773	774	APL	ALL	7730774	-50	M07730774	0	2100	0	0	
773	775	APL	ALL	7730775	50	M07730775	0	700	0	0	
774	771	APL	ALL	7740771	50	M07740771	0	1400	0	0	
774	772	APL	ALL	7740772	50	M07740772	0	700	0	0	
774	773	APL	ALL	7740773	50	M07740773	0	2100	0	0	
774	775	APL	ALL	7740775	50	M07740775	0	2800	0	0	
775	771	APL	ALL	7750771	-50	M07750771	0	1400	0	0	
775	772	APL	ALL	7750772	-50	M07750772	0	2100	0	0	
775	773	APL	ALL	7750773	-50	M07750773	0	700	0	0	
775	774	APL	ALL	7750774	-50	M07750774	0	2800	0	0	
781	782	APL	ALL	7810782	-50	M07810782	0	700	0	0	
781	783	APL	ALL	7810783	50	M07810783	0	700	0	0	
781	784	APL	ALL	7810784	-50	M07810784	0	1400	0	0	
781	785	APL	ALL	7810785	50	M07810785	0	1400	0	0	
782	781	APL	ALL	7820781	50	M07820781	0	700	0	0	
782	783	APL	ALL	7820783	50	M07820783	0	1400	0	0	
782	784	APL	ALL	7820784	-50	M07820784	0	700	0	0	
782	785	APL	ALL	7820785	50	M07820785	0	2100	0	0	
783	781	APL	ALL	7830781	-50	M07830781	0	700	0	0	
783	782	APL	ALL	7830782	-50	M07830782	0	1400	0	0	
783	784	APL	ALL	7830784	-50	M07830784	0	2100	0	0	
